timestr,time,open,close,low,high,volumefrom,volumeto
2022-02-03 04:00:00,1643860800,32613.1,32703.62,32589.78,32736.07,82.88,2708158.82
2022-02-03 03:00:00,1643857200,32759.74,32613.1,32580.57,32768.31,191.06,6245103.19
2022-02-03 02:00:00,1643853600,32671.2,32759.74,32562.62,32761,349.11,11404636.34
2022-02-03 01:00:00,1643850000,32709.92,32671.2,32611.95,32794.65,388.68,12724947.07
2022-02-03 00:00:00,1643846400,32695.72,32709.92,32597.81,32830.88,400.04,13092715.44
2022-02-02 23:00:00,1643842800,32807.73,32695.72,32638.11,32901.87,161.23,5282917.42
2022-02-02 22:00:00,1643839200,32709.93,32807.73,32651.87,32962.62,368.85,12090164.07
2022-02-02 21:00:00,1643835600,33289.36,32709.93,32462.03,33310.75,775.73,25423784.03
2022-02-02 20:00:00,1643832000,33272.06,33302.93,32872.99,33371.68,10983.35,365777783.32
2022-02-02 19:00:00,1643828400,33202.41,33275.83,33136.96,33345.28,191.48,6367247.97
2022-02-02 18:00:00,1643824800,33153.63,33202.41,33104.14,33216.45,162.06,5373233.78
2022-02-02 17:00:00,1643821200,33086.31,33153.63,33030.35,33257.19,306.32,10152480.34
2022-02-02 16:00:00,1643817600,33167.46,33086.31,32863.1,33167.46,615.78,20330679.08
2022-02-02 15:00:00,1643814000,33370.87,33167.46,33122.11,33455.14,595.72,19825489.32
2022-02-02 14:00:00,1643810400,33942.3,33370.87,33305.33,34002.57,1022.56,34377121.37
2022-02-02 13:00:00,1643806800,34235.15,33942.3,33930.09,34261.58,233.75,7961474.46
2022-02-02 12:00:00,1643803200,34065.82,34235.15,34050.64,34246.81,342.54,11712394.89
2022-02-02 11:00:00,1643799600,34145.56,34065.82,34039.03,34152.97,152.72,5204896.73
2022-02-02 10:00:00,1643796000,34175.64,34145.56,34050.2,34176.89,225.21,7682645.28
2022-02-02 09:00:00,1643792400,34109.75,34175.64,34066.68,34205.46,224.52,7664789.3
2022-02-02 08:00:00,1643788800,33975.1,34109.75,33943.59,34119.77,243.45,8290142.63
2022-02-02 07:00:00,1643785200,34001.14,33975.1,33936.8,34080.69,165.59,5628631.77
2022-02-02 06:00:00,1643781600,34100.11,34001.14,33943.48,34205.64,177.92,6058969.97
2022-02-02 05:00:00,1643778000,34125.54,34100.11,34030.94,34190.57,105.26,3587316.58
2022-02-02 04:00:00,1643774400,34242.36,34125.54,34113.27,34242.36,88.15,3011640.82
2022-02-02 03:00:00,1643770800,34296.38,34242.36,34235.36,34395.98,61.8,2121059.38
2022-02-02 02:00:00,1643767200,34132.29,34296.38,34096.14,34320.39,92.32,3159356.61
2022-02-02 01:00:00,1643763600,34237.97,34132.29,34086.14,34334.13,228.74,7810879.95
2022-02-02 00:00:00,1643760000,34368.67,34237.97,34150.96,34506.22,143.58,4924688.59
2022-02-01 23:00:00,1643756400,34367.13,34368.67,34296.39,34528.24,95.03,3271490.05
2022-02-01 22:00:00,1643752800,34445.89,34367.13,34255.87,34496.15,98.7,3394789.04
2022-02-01 21:00:00,1643749200,34234.7,34445.89,34210.78,34477.39,197.49,6792879.93
2022-02-01 20:00:00,1643745600,34145.62,34234.7,34140.79,34404.02,251.83,8632281.49
2022-02-01 19:00:00,1643742000,34293.74,34145.62,34122.89,34336.17,269.56,9223673.22
2022-02-01 18:00:00,1643738400,34607.58,34293.74,34246.7,34633.04,329.89,11370910.12
2022-02-01 17:00:00,1643734800,34839.66,34607.58,34429.39,34874.77,486.37,16839290.47
2022-02-01 16:00:00,1643731200,34360.29,34839.66,34338.28,34938.67,657.98,22815021.22
2022-02-01 15:00:00,1643727600,34207.94,34360.29,33965.57,34372.08,574.52,19612476.74
2022-02-01 14:00:00,1643724000,34539.07,34207.94,34078.19,34659,637.83,21934976.6
2022-02-01 13:00:00,1643720400,34358.76,34539.07,34222.43,34609.95,497.48,17138778.7
2022-02-01 12:00:00,1643716800,34137.89,34358.76,34098.91,34438.13,271.87,9319311.04
2022-02-01 11:00:00,1643713200,33999.75,34137.89,33964.47,34175.08,255.87,8718849.54
2022-02-01 10:00:00,1643709600,34011.3,33999.75,33814.25,34090.2,446.37,15152898.51
2022-02-01 09:00:00,1643706000,34320.93,34011.3,33998.63,34744.57,1011.81,34787638.13
2022-02-01 08:00:00,1643702400,34171.67,34320.93,34138,34331.11,244.12,8361177.05
2022-02-01 07:00:00,1643698800,34119.16,34171.67,34114.25,34240.03,389.46,13320182.87
2022-02-01 06:00:00,1643695200,34245.13,34119.16,34060.22,34249.7,153.41,5236797.36
2022-02-01 05:00:00,1643691600,34323.41,34245.13,34242.22,34375.75,122.02,4188745.38
2022-02-01 04:00:00,1643688000,34383.79,34323.41,34279.98,34417.67,78.04,2679635.34
2022-02-01 03:00:00,1643684400,34277.68,34383.59,33864.38,34442.08,3438.42,118225225.12
2022-02-01 02:00:00,1643680800,34084.46,34276.39,34064.81,34302.67,103.02,3522082.6
2022-02-01 01:00:00,1643677200,34186.46,34084.46,34051.17,34235.48,194.17,6634058.3
2022-02-01 00:00:00,1643673600,34280.35,34186.46,34133,34405.02,133.39,4566130.45
2022-01-31 23:00:00,1643670000,34234.95,34280.35,34179.9,34309.3,99.82,3418009.36
2022-01-31 22:00:00,1643666400,34228.39,34234.95,34214.61,34500.07,191.96,6592380.12
2022-01-31 21:00:00,1643662800,34266.71,34228.39,34155.49,34323.38,191.68,6560482.65
2022-01-31 20:00:00,1643659200,34205.35,34266.71,34058.81,34343.59,248.32,8496946.07
2022-01-31 19:00:00,1643655600,34286.28,34205.35,34184.63,34488.63,420.32,14427425.9
2022-01-31 18:00:00,1643652000,34340.62,34286.28,34186.09,34380.28,285.36,9781366.19
2022-01-31 17:00:00,1643648400,34212.01,34340.62,34062.1,34419.99,678.6,23238909.52
2022-01-31 16:00:00,1643644800,33664.23,34212.01,33650.12,34266.53,738.11,25052393.44
2022-01-31 15:00:00,1643641200,33551.06,33664.23,33550.6,33850.21,757.44,25553799.6
2022-01-31 14:00:00,1643637600,33332.65,33551.06,33284.31,33551.06,478.08,15966608.11
2022-01-31 13:00:00,1643634000,33256.89,33332.65,33051.52,33406.15,394.71,13131590.25
2022-01-31 12:00:00,1643630400,33422.61,33256.89,33072.16,33524.88,446.32,14824385.88
2022-01-31 11:00:00,1643626800,33431.8,33422.61,33097.84,33465.98,320.34,10663838.7
2022-01-31 10:00:00,1643623200,33334.73,33431.8,33283.2,33457.68,193.32,6446172.98
2022-01-31 09:00:00,1643619600,33279.4,33334.73,33229.57,33364.78,218.23,7265562.48
2022-01-31 08:00:00,1643616000,33278.17,33279.4,33257.8,33350.57,251.62,8376608.04
2022-01-31 07:00:00,1643612400,33102.32,33278.17,33077.21,33351.48,215.17,7154366.04
2022-01-31 06:00:00,1643608800,33176.85,33102.32,33100.94,33233.39,109.22,3623644.45
2022-01-31 05:00:00,1643605200,33097.82,33176.85,33057.54,33188.15,76.28,2526314.47
2022-01-31 04:00:00,1643601600,33200.74,33092.76,32830.13,33274.3,2937.24,97201384.8
2022-01-31 03:00:00,1643598000,33182.23,33208.42,33126.7,33227.81,91.77,3045362.41
2022-01-31 02:00:00,1643594400,33037.01,33182.23,32901,33189.98,189.65,6265221.93
2022-01-31 01:00:00,1643590800,33086.72,33037.01,33022.21,33179.2,152.57,5046053.12
2022-01-31 00:00:00,1643587200,34029.57,33086.72,33086.72,34048.1,555.8,18614791.61
2022-01-30 23:00:00,1643583600,33948.96,34029.57,33948.96,34341.08,360.45,12320849.16
2022-01-30 22:00:00,1643580000,33903.18,33948.96,33822.09,33976.97,133.41,4523299.04
2022-01-30 21:00:00,1643576400,33871.84,33903.18,33710.69,33932,120.02,4059654.74
2022-01-30 20:00:00,1643572800,33720.88,33871.84,33588.04,33916.8,212,7155848.74
2022-01-30 19:00:00,1643569200,34007.08,33720.88,33669.51,34007.7,316.93,10707056.92
2022-01-30 18:00:00,1643565600,34139.53,34007.08,34004.87,34171.27,111.45,3798342.03
2022-01-30 17:00:00,1643562000,33997.4,34139.53,33952.77,34143.7,93.66,3190801.67
2022-01-30 16:00:00,1643558400,34128,33997.4,33987.72,34202.78,109.91,3747057.97
2022-01-30 15:00:00,1643554800,34011.8,34128,33983.66,34175.02,144.65,4933002.59
2022-01-30 14:00:00,1643551200,34124.93,34011.8,33917.49,34153.74,171.12,5818215.03
2022-01-30 13:00:00,1643547600,34102.43,34124.93,34022.71,34147.74,105.15,3584049.18
2022-01-30 12:00:00,1643544000,34252.21,34102.43,34038.43,34267.63,122.51,4186620.9
2022-01-30 11:00:00,1643540400,34324.44,34252.21,34136.03,34377.02,129.69,4443156.72
2022-01-30 10:00:00,1643536800,34070.42,34324.44,34050.64,34328.71,140.22,4796617.75
2022-01-30 09:00:00,1643533200,34172.76,34070.42,34017.21,34229.09,133.88,4568559.79
2022-01-30 08:00:00,1643529600,34389.45,34172.76,34150.36,34481.51,130.35,4470959.74
2022-01-30 07:00:00,1643526000,34257.3,34389.45,34254.89,34415.71,93.26,3202521.25
2022-01-30 06:00:00,1643522400,34298.99,34257.3,34222.66,34299.02,107.02,3668670.08
2022-01-30 05:00:00,1643518800,34272.84,34298.99,34260.82,34436.37,112.24,3856377.79
2022-01-30 04:00:00,1643515200,34101.07,34272.84,34094.97,34317.57,115.15,3935745.36
2022-01-30 03:00:00,1643511600,34149.51,34101.07,34076.97,34224.54,276.38,9450047.47
2022-01-30 02:00:00,1643508000,34119.89,34149.51,34069.97,34229.42,227.92,7789861.73
2022-01-30 01:00:00,1643504400,34000.01,34119.89,33991.87,34154.42,297.58,10143199.19
2022-01-30 00:00:00,1643500800,34301.19,34000.01,33953.18,34389.39,231.54,7900315.49
2022-01-29 23:00:00,1643497200,34267.5,34301.19,34091.23,34318.63,94.28,3224127.33
2022-01-29 22:00:00,1643493600,34477.35,34267.5,34200.38,34517.57,195.38,6702646.84
2022-01-29 21:00:00,1643490000,34461.85,34477.35,34425.68,34773.34,297.36,10298567.26
2022-01-29 20:00:00,1643486400,34043.38,34461.85,34018.12,34701.58,613.8,21137782.79
2022-01-29 19:00:00,1643482800,33979.88,34043.38,33968.38,34124.86,122.6,4176362.63
2022-01-29 18:00:00,1643479200,33851.47,33979.88,33771.27,34056.94,171.1,5805285.03
2022-01-29 17:00:00,1643475600,33733.51,33851.47,33731.66,33904.82,136.85,4630252.48
2022-01-29 16:00:00,1643472000,33778.18,33733.51,33565.58,33802.18,173.63,5850207.32
2022-01-29 15:00:00,1643468400,33851.93,33778.18,33565.98,33907.02,301.64,10178928.26
2022-01-29 14:00:00,1643464800,34300.23,33851.93,33769.15,34336.88,282.84,9630395.17
2022-01-29 13:00:00,1643461200,34037.23,34300.23,33946.7,34315.17,378.58,12946858.6
2022-01-29 12:00:00,1643457600,33943.18,34037.23,33855.97,34070.96,189.59,6443883.35
2022-01-29 11:00:00,1643454000,33970.15,33943.18,33899.26,33994.58,150.59,5111588.2
2022-01-29 10:00:00,1643450400,33921.81,33970.15,33841.29,34007.61,177.55,6020340.61
2022-01-29 09:00:00,1643446800,34011.52,33921.81,33813.2,34013.41,257.61,8735144.68
2022-01-29 08:00:00,1643443200,34048.26,34011.52,33986.78,34114.22,361.31,12304725.75
2022-01-29 07:00:00,1643439600,33957.5,34048.26,33892.31,34106.74,410.09,13942612.06
2022-01-29 06:00:00,1643436000,33860.21,33957.5,33824.31,34014.77,361.31,12260447.4
2022-01-29 05:00:00,1643432400,33998.78,33860.21,33828.03,34014.49,239.99,8140169.52
2022-01-29 04:00:00,1643428800,33925.48,33998.78,33921.9,34073.61,201.13,6843302.27
2022-01-29 03:00:00,1643425200,33735.53,33925.48,33707.09,33926.51,249.36,8442249.02
2022-01-29 02:00:00,1643421600,33717.98,33735.53,33673.86,33791.42,265.18,8946264.08
2022-01-29 01:00:00,1643418000,33925,33717.98,33677.35,34012.44,215.46,7295377.13
2022-01-29 00:00:00,1643414400,33887.14,33925,33806.98,34086.1,170.32,5782950.72
2022-01-28 23:00:00,1643410800,33817.46,33887.14,33803.49,33962.76,77.49,2626721.22
2022-01-28 22:00:00,1643407200,33932.09,33817.46,33816.82,34059.1,146.63,4981942.18
2022-01-28 21:00:00,1643403600,33883.33,33932.09,33827.25,34113.24,326.6,11095974.46
2022-01-28 20:00:00,1643400000,33411.7,33883.33,33354.62,33944.72,442.45,14898988.1
2022-01-28 19:00:00,1643396400,33258.17,33411.7,33027.59,33415.47,233.92,7769553.63
2022-01-28 18:00:00,1643392800,33064.77,33258.17,33020.68,33305.03,219.58,7282107.35
2022-01-28 17:00:00,1643389200,33282.78,33064.77,32991.67,33338.46,218.62,7252302.94
2022-01-28 16:00:00,1643385600,33348.73,33282.78,33201.19,33492.74,308,10269968.29
2022-01-28 15:00:00,1643382000,32970.17,33348.73,32916.72,33467.96,452.76,15064295.56
2022-01-28 14:00:00,1643378400,33084.94,32970.17,32852.82,33274.98,517.94,17128877.49
2022-01-28 13:00:00,1643374800,32619,33084.94,32572.62,33166.29,548.33,18058021.34
2022-01-28 12:00:00,1643371200,32752.91,32619,32505.43,32869.98,315.33,10304658.99
2022-01-28 11:00:00,1643367600,32921.51,32752.91,32687.76,32946.95,266.54,8733203.71
2022-01-28 10:00:00,1643364000,32810.94,32921.51,32662.33,32957.89,221.92,7289201.41
2022-01-28 09:00:00,1643360400,32945.94,32810.94,32763.92,33121.23,274.51,9039531.77
2022-01-28 08:00:00,1643356800,33076.87,32945.94,32780.61,33157.65,355.78,11717738.22
2022-01-28 07:00:00,1643353200,33165.18,33076.87,33071.62,33347.97,549.52,18256948.16
2022-01-28 06:00:00,1643349600,33400.07,33165.18,33164.35,33655.3,475.92,15914507.14
2022-01-28 05:00:00,1643346000,33406.52,33400.07,33321.96,33507.41,370.32,12380279.93
2022-01-28 04:00:00,1643342400,33517.78,33406.52,33234.06,33593.95,283.66,9489145.22
